"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.169799167e-1	-9.361491662e0	-5.724486981e-1	-3.393785360e0	9.974116639e0
6.269599167e-1	-9.551617972e0	-7.829154249e-1	-3.419692619e0	1.017549311e1
6.369409167e-1	-9.489603572e0	-1.187179636e0	-3.658879699e0	1.023959824e1
6.469219167e-1	-9.360473662e0	-1.606577903e0	-4.220722864e0	1.039298134e1
6.569019167e-1	-8.984723398e0	-1.870916928e0	-4.906366494e0	1.040663331e1
6.668829167e-1	-8.789648589e0	-1.946036253e0	-5.430012138e0	1.051332541e1
6.768629167e-1	-9.226751348e0	-1.836188998e0	-6.123528167e0	1.122506693e1
6.868439167e-1	-9.863429518e0	-1.404409106e0	-6.607131493e0	1.195465572e1
6.968239167e-1	-1.068327464e1	-9.024190642e-1	-6.889453191e0	1.274406852e1
7.068049167e-1	-1.150294201e1	-4.499220483e-1	-6.922591701e0	1.343288430e1
7.167849167e-1	-1.199977057e1	-1.984780160e-1	-6.420265006e0	1.361079314e1
7.267659167e-1	-1.197890770e1	-7.912744582e-2	-5.375340087e0	1.312991896e1
7.367459167e-1	-1.158218581e1	-5.791009292e-2	-4.200308188e0	1.232042900e1
7.467269167e-1	-1.084984778e1	-4.349630434e-2	-3.336083867e0	1.135123537e1
7.567069167e-1	-9.887836965e0	1.724868684e-1	-2.869370808e0	1.029720158e1
7.666879167e-1	-8.994824463e0	4.410047155e-1	-2.775496100e0	9.423626207e0
7.766679167e-1	-8.305721912e0	5.928038791e-1	-2.874094189e0	8.808907443e0
7.866489167e-1	-8.011440904e0	4.321301405e-1	-3.230009820e0	8.648866126e0
7.966289167e-1	-7.924479944e0	2.343108133e-1	-3.803998821e0	8.793332188e0
8.066099167e-1	-7.694187355e0	1.979330738e-1	-4.326999224e0	8.829644322e0
8.165909167e-1	-7.339793462e0	2.617773597e-1	-4.549274696e0	8.639270554e0
8.265709167e-1	-6.951453558e0	3.007715638e-1	-4.290075227e0	8.174222627e0
8.365519167e-1	-6.386512538e0	2.036969666e-1	-3.512852798e0	7.291719251e0
8.465319167e-1	-5.428246863e0	1.839042878e-1	-2.042611352e0	5.802753306e0
8.565129167e-1	-4.077931811e0	2.735707094e-2	-3.002290884e-1	4.089060255e0
8.664929167e-1	-2.360720934e0	-1.352115995e-1	1.472125418e0	2.785397413e0
8.764739167e-1	-7.174849355e-1	-4.374702564e-1	2.957236333e0	3.074314816e0
8.864539167e-1	9.231139684e-1	-9.580727166e-1	3.923482288e0	4.142916363e0
8.964349167e-1	2.870926752e0	-1.278279840e0	4.907005595e0	5.827085350e0
9.064149167e-1	5.065493206e0	-1.434798109e0	5.779896659e0	7.818252517e0
9.163959167e-1	7.767285152e0	-1.165404897e0	6.530273936e0	1.021437051e1
9.263759167e-1	1.072215161e1	-7.365850116e-1	7.402456902e0	1.305003681e1
9.363569167e-1	1.329517676e1	-2.834737092e-1	7.754018989e0	1.539372901e1
9.463369167e-1	1.582876828e1	6.060636831e-1	7.604778750e0	1.757127993e1
9.563179167e-1	1.828683483e1	1.601802336e0	7.544681067e0	1.984682119e1
9.662979167e-1	2.013363580e1	2.611393992e0	7.297776539e0	2.157406339e1
9.762789167e-1	2.119444468e1	3.052592141e0	6.807464118e0	2.246918716e1
9.862599167e-1	2.187266088e1	2.926848061e0	5.966747943e0	2.286004844e1
9.962399167e-1	2.324758920e1	3.302409752e0	4.869461208e0	2.398057477e1
1.006220917e0	2.493021438e1	4.077186291e0	3.663812411e0	2.552572347e1
1.016200917e0	2.581824506e1	4.563276438e0	2.614981844e0	2.634849900e1
1.026181917e0	2.592156302e1	4.468920504e0	2.529808962e0	2.642534036e1
1.036161917e0	2.559234373e1	4.236572619e0	3.357544318e0	2.615702026e1
1.046142917e0	2.343593036e1	3.267282019e0	4.552810507e0	2.409659825e1
1.056122917e0	1.916486209e1	2.170743435e0	4.644242541e0	1.983867573e1
1.066103917e0	1.476129825e1	2.033881459e0	3.676909004e0	1.534771187e1
1.076083917e0	1.125260750e1	2.430831534e0	2.104050678e0	1.170286917e1
1.086064917e0	7.943482225e0	2.711530484e0	1.960796526e-1	8.395817688e0
1.096044917e0	4.877340331e0	2.651505015e0	-1.526002248e0	5.757396148e0
1.106026792e0	2.788406167e0	1.801397919e0	-2.278708764e0	4.026506804e0
1.116006792e0	8.192691725e-1	1.355003350e0	-2.137207315e0	2.659866756e0
1.125987792e0	-2.165766578e0	1.068703206e0	-1.539616320e0	2.864103669e0
1.135968792e0	-5.679062594e0	4.759572876e-1	-4.413650867e-1	5.716038001e0
1.145948792e0	-9.008202893e0	-2.499021763e-1	9.326873222e-1	9.059805522e0
1.155929792e0	-1.146361598e1	-1.193464223e0	2.212954777e0	1.173609888e1
1.165909792e0	-1.261039179e1	-2.370401145e0	3.018647300e0	1.318154066e1
1.175890792e0	-1.275403683e1	-2.589960731e0	3.570322741e0	1.349520494e1
1.185870792e0	-1.258828581e1	-2.311206858e0	3.937096360e0	1.339056923e1
1.195851792e0	-1.275824799e1	-2.225803011e0	3.703592480e0	1.347010349e1
1.205831792e0	-1.372276610e1	-1.900176395e0	2.437408629e0	1.406648287e1
1.215812792e0	-1.481160302e1	-1.281373456e0	6.478036666e-1	1.488103328e1
1.225792792e0	-1.546707706e1	-7.555254588e-1	-1.220056629e0	1.553350668e1
1.235773792e0	-1.516451523e1	-3.458116427e-1	-2.790898835e0	1.542307441e1
1.245753792e0	-1.443026866e1	-3.753886867e-2	-4.017270165e0	1.497906948e1
1.255734792e0	-1.334289004e1	1.816497476e-1	-5.030867164e0	1.426097246e1
1.265714792e0	-1.190239338e1	5.160973267e-1	-5.326884795e0	1.305025004e1
1.275695792e0	-1.069587656e1	8.335890768e-1	-5.074931781e0	1.186809078e1
1.285676792e0	-9.938538172e0	9.703822750e-1	-4.367311099e0	1.089906368e1
1.295656792e0	-9.480847367e0	9.453529760e-1	-3.301785854e0	1.008374677e1
1.305637792e0	-9.302687384e0	7.686913419e-1	-2.288118103e0	9.610742084e0
1.315617792e0	-9.133674200e0	6.056602983e-1	-1.424162462e0	9.263858133e0
1.325598792e0	-9.323815128e0	4.999041208e-1	-9.983047763e-1	9.390423052e0
1.335578792e0	-9.657891701e0	5.201880388e-1	-1.153144309e0	9.740390624e0
1.345559792e0	-9.433831075e0	8.954368309e-1	-1.329038496e0	9.568976915e0
1.355539792e0	-8.911824406e0	1.243698822e0	-1.379420738e0	9.103307233e0
1.365520792e0	-8.546363488e0	1.239263563e0	-1.654994164e0	8.792901042e0
1.375500792e0	-8.258182880e0	1.225447031e0	-1.970049160e0	8.577901759e0
1.385481792e0	-7.931684883e0	1.361445666e0	-1.952721521e0	8.281200439e0
1.395461792e0	-7.774723980e0	1.405382375e0	-1.902510603e0	8.126560107e0
1.405442792e0	-7.868174765e0	1.340862590e0	-1.701035140e0	8.160858237e0
1.415422792e0	-8.270976003e0	1.119898064e0	-1.601934775e0	8.498788781e0
1.425403792e0	-8.854914041e0	9.075434178e-1	-1.635958554e0	9.050386628e0
1.435383792e0	-9.449742519e0	8.860996315e-1	-1.556228260e0	9.617933906e0
1.445364792e0	-9.613512504e0	7.046382373e-1	-1.096218157e0	9.701434531e0
1.455345792e0	-9.336665554e0	2.523982796e-1	-4.578007329e-1	9.351289220e0
1.465325792e0	-8.541186363e0	-2.185878880e-1	-2.003223923e-1	8.546331038e0
1.475306792e0	-6.985611822e0	-5.879886604e-1	-7.292968959e-2	7.010693399e0
1.485286792e0	-4.830097167e0	-8.971687031e-1	2.325879130e-1	4.918215882e0
1.495267792e0	-2.284829337e0	-9.425085980e-1	8.803819317e-1	2.623707282e0
1.505247792e0	8.937287861e-1	-3.126657872e-1	2.125904062e0	2.327225627e0
1.515228792e0	3.587974316e0	6.035205463e-2	3.518813449e0	5.025858151e0
1.525208792e0	5.457565387e0	-1.148080328e-1	3.935980711e0	6.729795316e0
1.535189792e0	7.812337364e0	4.589307073e-1	3.525227845e0	8.583149995e0
1.545169792e0	1.111940559e1	1.868278372e0	2.086411383e0	1.146668031e1
1.555150792e0	1.506170247e1	2.583373258e0	-4.713662732e-1	1.528891379e1
1.565130792e0	1.809435502e1	3.118655445e0	-3.298174029e0	1.865501668e1
1.575111792e0	2.090048643e1	2.484636590e0	-4.299188697e0	2.148224326e1
1.585091792e0	2.503836448e1	9.989688007e-1	-4.536368429e0	2.546558998e1
1.595072792e0	2.996136689e1	-5.646122597e-2	-3.916762667e0	3.021634862e1
1.605053792e0	3.355819974e1	-9.395372622e-1	-3.016676496e0	3.370661414e1
