"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679365626800418e9	"2023-03-20 22:27:06.800 UTC-04:00"
"PAUSE"	6.000508049999917e1	1.679365686805508e9	"2023-03-20 22:28:06.806 UTC-04:00"
