"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679257560.585	"2023-03-19 16:26:00.585 UTC-04:00"
"PAUSE"	5.575453358E1	1679257616.339	"2023-03-19 16:26:56.339 UTC-04:00"
