"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679365729722977e9	"2023-03-20 22:28:49.723 UTC-04:00"
"PAUSE"	6.000458449999860e1	1.679365789727571e9	"2023-03-20 22:29:49.728 UTC-04:00"
