"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679257153.438	"2023-03-19 16:19:13.438 UTC-04:00"
"PAUSE"	6.000928244E1	1679257213.447	"2023-03-19 16:20:13.447 UTC-04:00"
