"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679257899.417	"2023-03-19 16:31:39.417 UTC-04:00"
"PAUSE"	4.754031484E1	1679257946.957	"2023-03-19 16:32:26.957 UTC-04:00"
