"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679366027529651e9	"2023-03-20 22:33:47.530 UTC-04:00"
"PAUSE"	6.000473045833496e1	1.679366087534384e9	"2023-03-20 22:34:47.534 UTC-04:00"
