"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.787888750e-1	1.055524752e-1	-1.688173020e-1	6.199796909e-1	6.511646670e-1
6.887708750e-1	2.170145484e-1	-2.897260273e-1	1.350303358e-1	3.863543408e-1
6.987518750e-1	3.525623263e-1	-4.306398314e-1	-3.874341702e-1	6.781269015e-1
7.087338750e-1	4.197010797e-1	-4.573686236e-1	-8.063900954e-1	1.017644358e0
7.187148750e-1	3.806871412e-1	-3.921867871e-1	-9.831753981e-1	1.124885345e0
7.286968750e-1	3.081655873e-1	-4.038379490e-1	-9.588977587e-1	1.085143322e0
7.386778750e-1	3.134311511e-1	-5.407920188e-1	-7.106916404e-1	9.464553353e-1
7.486588750e-1	2.729498539e-1	-7.668038607e-1	-3.655240685e-1	8.922430320e-1
7.586408750e-1	1.135769746e-1	-9.350440425e-1	-9.901616514e-2	9.471068005e-1
7.686218750e-1	-1.616181370e-1	-1.004749285e0	1.751159227e-1	1.032621486e0
7.786038750e-1	-3.053126577e-1	-1.066529211e0	4.529352647e-1	1.198269891e0
7.885848750e-1	-3.534563655e-1	-1.138079250e0	5.662431943e-1	1.319388926e0
7.985668750e-1	-3.856132011e-1	-1.110556406e0	4.276641834e-1	1.250971513e0
8.085478750e-1	-3.233725141e-1	-9.997505003e-1	5.865751326e-2	1.052383746e0
8.185298750e-1	-2.150043853e-1	-8.353881919e-1	-2.931027943e-1	9.110486074e-1
8.285108750e-1	-3.293451525e-2	-6.696845323e-1	-6.309420508e-1	9.206790573e-1
8.384918750e-1	1.051763530e-1	-4.807557321e-1	-9.627697849e-1	1.081255658e0
8.484738750e-1	2.176713735e-1	-3.209735477e-1	-1.198301479e0	1.259496439e0
8.584548750e-1	2.403836402e-1	-2.978548265e-1	-1.378367654e0	1.430524093e0
8.684368750e-1	1.949218308e-1	-3.789732492e-1	-1.480955299e0	1.541052835e0
8.784178750e-1	1.268024994e-1	-4.216871595e-1	-1.456763613e0	1.521860427e0
8.883998750e-1	5.210219979e-2	-4.275624418e-1	-1.291286241e0	1.361229017e0
8.983808750e-1	1.906842805e-2	-4.874338371e-1	-1.100723729e0	1.203971792e0
9.083628750e-1	1.103007066e-1	-5.899682719e-1	-1.075539186e0	1.231670958e0
9.183438750e-1	1.614488601e-1	-6.610528725e-1	-1.184709626e0	1.366233337e0
9.283248750e-1	1.558350945e-1	-5.959903193e-1	-1.291641167e0	1.431022691e0
9.383068750e-1	1.045053119e-1	-4.703248841e-1	-1.295085762e0	1.381800994e0
9.482878750e-1	5.721113138e-2	-3.528133911e-1	-1.168743219e0	1.222174748e0
9.582698750e-1	-4.211807907e-2	-2.240717357e-1	-8.504956430e-1	8.805253626e-1
9.682508750e-1	-1.127283975e-1	-1.129214287e-1	-4.542701840e-1	4.814772484e-1
9.782328750e-1	-1.105772068e-1	-2.808943927e-2	-1.223407084e-1	1.672829465e-1
9.882138750e-1	-1.975804136e-1	-2.792688668e-2	8.722759366e-2	2.177764540e-1
9.981958750e-1	-2.483897940e-1	-6.184541523e-2	1.428609270e-1	2.931409040e-1
1.008176875e0	-3.024661600e-1	-1.577344894e-2	7.834041059e-2	3.128446892e-1
1.018157875e0	-3.402029204e-1	1.811373854e-1	-2.598210275e-2	3.862950285e-1
1.028139875e0	-2.358883739e-1	4.293610454e-1	-7.252769351e-2	4.952317624e-1
1.038120875e0	-4.268474735e-2	6.703294802e-1	-5.245010912e-2	6.737318559e-1
1.048102875e0	1.785588364e-1	8.824711418e-1	-3.258653283e-2	9.009442027e-1
1.058083875e0	2.400121958e-1	1.049502119e0	-4.212626517e-2	1.077420612e0
1.068065875e0	1.919284219e-1	1.114529589e0	-1.285674083e-1	1.138218917e0
1.078046875e0	9.080097333e-2	1.099327413e0	-2.534265125e-1	1.131808542e0
1.088028875e0	-1.946165331e-2	1.105930089e0	-3.132622397e-1	1.149605736e0
1.098009875e0	-1.014385204e-1	1.124720117e0	-2.535405332e-1	1.157397044e0
1.107990875e0	-1.385956755e-1	1.155196390e0	-3.932837248e-2	1.164145258e0
1.117972875e0	-1.937277563e-1	1.212564592e0	2.460847485e-1	1.252358190e0
1.127953875e0	-2.378041410e-1	1.237343922e0	4.705669588e-1	1.344992213e0
1.137935875e0	-3.370524406e-1	1.143776193e0	4.966490489e-1	1.291699889e0
1.147916875e0	-5.266457769e-1	1.109331415e0	4.145512176e-1	1.296080504e0
1.157898875e0	-6.852584450e-1	1.147353519e0	3.921405941e-1	1.392757509e0
1.167879875e0	-7.015207212e-1	1.107336929e0	3.291549718e-1	1.351543337e0
1.177861875e0	-6.100803548e-1	1.007592201e0	8.518808484e-2	1.180972943e0
1.187842875e0	-5.256023412e-1	9.955808508e-1	-1.569059390e-1	1.136687523e0
1.197823875e0	-4.571894065e-1	1.063580461e0	-1.536005080e-1	1.167826471e0
1.207805875e0	-4.654821470e-1	1.149849111e0	1.925049573e-1	1.255342489e0
1.217786875e0	-5.250095066e-1	1.173508115e0	7.332034206e-1	1.479980923e0
1.227768875e0	-6.168322078e-1	1.031474569e0	1.284285370e0	1.758923156e0
