"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.280458566E0	-5.155296326E0	-6.268501282E-2	1.867500782E0	5.483481448E0
1.298809921E0	-7.482607841E0	1.037898064E0	9.302778244E-1	7.611311932E0
1.317148566E0	-7.322178841E0	2.433635712E0	2.560758591E-1	7.720262988E0
1.335474400E0	-4.415564537E0	5.890248299E0	4.459290504E-1	7.375031384E0
1.353825754E0	-2.658185959E-1	8.416305542E0	9.394264221E-1	8.472743387E0
1.372164400E0	2.700346947E0	6.086227417E0	1.719882965E0	6.876920475E0
1.390490181E0	3.654542446E0	2.273245811E0	-3.715124130E-1	4.319878295E0
1.408841587E0	3.383983135E0	3.771379471E0	-2.434552908E0	5.621538298E0
1.427180181E0	4.055351257E0	6.395772934E0	-5.505302906E0	9.362699682E0
1.445506014E0	7.783292294E0	7.298105240E0	-8.047534943E0	1.336431059E1
1.463857421E0	9.643170357E0	5.301904678E0	-6.151608467E0	1.260726832E1
1.482196014E0	7.885655403E0	3.676947594E0	-3.910032272E0	9.538965201E0
1.500521848E0	5.378741264E0	2.778803825E0	-1.820215464E0	6.321850411E0
1.518873254E0	3.947476864E0	1.360080719E0	-1.287483931E0	4.369211373E0
1.537211848E0	3.265073299E0	-4.517793655E-1	-6.615324020E-1	3.361909184E0
1.555537681E0	3.097317696E0	-1.832302094E0	3.264338970E-1	3.613484047E0
1.573889087E0	3.432119846E0	-2.353233337E0	-9.802508354E-2	4.162542816E0
1.592227681E0	3.069782734E0	-2.664885521E0	-9.371147156E-1	4.171734036E0
1.610553566E0	1.795046687E0	-3.104582787E0	-2.766969442E0	4.529541564E0
1.628904921E0	1.082157373E0	-3.303359985E0	-4.126537323E0	5.395513141E0
1.647243514E0	1.385264039E0	-3.321083546E0	-3.267081738E0	4.860285532E0
1.665569348E0	1.356271148E0	-3.031990051E0	-1.391782284E0	3.601318234E0
1.683920754E0	1.033604383E0	-1.861405373E0	-7.092204094E-1	2.244139383E0
1.702259348E0	4.481734037E-1	-8.094787598E-1	-6.766910553E-1	1.146309752E0
1.720585181E0	-2.994022369E-1	1.801414490E-1	-8.619835377E-1	9.301119612E-1
1.738936587E0	-1.002169490E0	1.158707619E0	-9.214854240E-1	1.787759049E0
1.757275181E0	-8.883378506E-1	1.695937157E0	1.702785492E-3	1.914510349E0
1.775601014E0	-5.457067490E-1	1.832514763E0	1.274822474E0	2.298059736E0
1.793952421E0	-6.604268551E-1	1.411161423E0	1.702467203E0	2.307798685E0
1.812291014E0	2.017593384E-2	3.831205368E-1	2.087696314E0	2.122655015E0
