"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679365841708618e9	"2023-03-20 22:30:41.709 UTC-04:00"
"PAUSE"	6.000502916667028e1	1.679365901713628e9	"2023-03-20 22:31:41.714 UTC-04:00"
