"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.299095448E0	-4.615471840E0	-2.712180138E0	-1.191955805E0	5.484456221E0
1.317439562E0	-6.755508423E0	-2.146414757E0	1.614914179E0	7.269933849E0
1.335770865E0	-8.109053612E0	-1.636406898E0	-7.197837830E-1	8.303774245E0
1.354127740E0	-6.353295326E0	-2.027073860E0	-2.935008049E0	7.286128065E0
1.372471802E0	-3.887869358E0	-4.405681610E0	8.793587685E-1	5.941281885E0
1.390803104E0	-1.266937613E0	-7.988459587E0	7.753729820E-2	8.088672915E0
1.409159979E0	1.403705120E0	-8.289318085E0	3.677364588E-1	8.415367638E0
1.427504094E0	2.982739925E0	-5.227817535E0	1.988599658E0	6.338875472E0
1.445835396E0	5.126719475E0	-4.709567070E0	1.413880706E0	7.103684481E0
1.464192219E0	6.127869606E0	-8.654214859E0	5.039867401E0	1.174080424E1
1.482536333E0	4.991326332E0	-1.200078583E1	3.159096241E0	1.337580233E1
1.500867635E0	2.603651524E0	-1.140228653E1	-1.890158653E-2	1.169578970E1
1.519224510E0	3.081199408E0	-8.241694450E0	2.753257751E0	9.219530652E0
1.537568573E0	3.961738586E0	-5.074481010E0	5.788952351E0	8.657811471E0
1.555899875E0	4.322155952E0	-1.804757595E0	4.615406036E0	6.575724670E0
1.574256750E0	5.299136639E0	8.197584152E-1	5.125995636E0	7.418132126E0
1.592600812E0	6.936511517E0	3.640703678E0	6.385993004E0	1.010696898E1
1.610932115E0	7.534443855E0	6.176088810E0	6.066342831E0	1.147660370E1
1.629288990E0	7.487561226E0	7.316558361E0	5.566404343E0	1.185666297E1
1.647633052E0	7.143138885E0	8.667247772E0	5.351247311E0	1.244111992E1
1.665964354E0	8.112595558E0	8.377846718E0	5.443585396E0	1.286993179E1
1.684321229E0	1.035192394E1	6.007995129E0	5.055252075E0	1.299284066E1
1.702665292E0	1.085794926E1	4.371900082E0	4.495433331E0	1.253864001E1
1.721009406E0	9.286285400E0	3.801935911E0	3.923812151E0	1.077432666E1
1.739353469E0	6.526161194E0	3.347601175E0	2.054694891E0	7.617019407E0
1.757697531E0	2.367462635E0	2.024872303E0	-2.554204941E0	4.028517103E0
1.776028833E0	-4.614727974E0	-2.912613869E0	-7.553868294E0	9.318796061E0
1.794385708E0	-1.208424950E1	-1.131680202E1	-1.093248940E1	1.983981901E1
1.812729771E0	-1.199303055E1	-1.590573883E1	-5.555016041E0	2.068051046E1
1.831061073E0	-2.524768353E0	-1.033275986E1	-1.342916489E-2	1.063675523E1
1.849417896E0	7.995903969E0	-3.988048077E0	1.200548887E0	9.015560181E0
1.867761958E0	1.032270622E1	-1.143854141E0	-1.974256516E0	1.057186619E1
1.886093260E0	7.254356384E0	-3.471093178E0	2.765989780E0	8.504403204E0
1.904450135E0	4.612040520E0	-1.029958916E1	2.812109470E0	1.163015108E1
1.922794198E0	6.251988411E-1	-1.043810749E1	1.287550735E1	1.658685176E1
1.941125500E0	5.029938698E0	-2.319021702E0	7.477560043E0	9.305484896E0
1.959482323E0	6.446523190E0	1.763247013E0	6.505648613E0	9.326851834E0
1.977826437E0	6.005697250E0	3.120352745E0	7.718827248E0	1.026573401E1
1.996157687E0	7.495678902E0	9.241724014E-2	5.323847771E0	9.194405812E0
2.014514562E0	5.444327354E0	-2.968542099E0	4.151909828E0	7.462660233E0
2.032858625E0	1.559379578E0	-1.190734863E0	3.204456806E0	3.757400379E0
2.051189927E0	1.496124268E-1	5.693912506E-1	3.138751507E0	3.193485759E0
2.069546750E0	3.231477737E-2	1.311483383E0	2.621270657E0	2.931227177E0
2.087890812E0	3.016529083E-1	1.335627079E0	2.376010418E0	2.742320127E0
2.106234875E0	5.129117966E-1	1.975407124E0	2.531135082E0	3.251454539E0
2.124578937E0	8.106868267E-1	2.842273235E0	1.701506853E0	3.410404059E0
2.142923000E0	1.078156948E0	2.864099503E0	1.121404171E-1	3.062362460E0
2.161267062E0	1.432700872E0	1.809299469E0	-1.088336349E0	2.551601922E0
2.179611125E0	2.394042015E0	4.972047806E-1	-1.683207631E0	2.968473967E0
2.197955240E0	3.247185707E0	-3.920392990E-1	-1.758243561E0	3.713398746E0
