"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679257710.319	"2023-03-19 16:28:30.319 UTC-04:00"
"PAUSE"	6.001160780E1	1679257770.330	"2023-03-19 16:29:30.330 UTC-04:00"
