"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679365286029695e9	"2023-03-20 22:21:26.030 UTC-04:00"
"PAUSE"	6.223218320833257e1	1.679365348261888e9	"2023-03-20 22:22:28.262 UTC-04:00"
