"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679257373.419	"2023-03-19 16:22:53.419 UTC-04:00"
"PAUSE"	6.000657181E1	1679257433.426	"2023-03-19 16:23:53.426 UTC-04:00"
