"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679090604124535e9	"2023-03-17 18:03:24.125 UTC-04:00"
"PAUSE"	5.183523874991806e0	1.679090609308061e9	"2023-03-17 18:03:29.308 UTC-04:00"
