"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000E0	1679256997.967	"2023-03-19 16:16:37.967 UTC-04:00"
"PAUSE"	6.001538259E1	1679257057.983	"2023-03-19 16:17:37.983 UTC-04:00"
