"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.223815443E0	-3.739857078E-1	6.189702988E0	-9.233368635E-1	6.269357172E0
1.242166902E0	1.287198544E0	8.256587029E0	1.470117569E0	8.484654095E0
1.260505600E0	2.385691404E0	1.007749748E1	4.579494476E0	1.132339387E1
1.278831485E0	1.140425205E0	9.574357033E0	5.366582870E0	1.103490344E1
1.297182943E0	-1.593828559E0	9.436253548E0	-1.124167442E-2	9.569916241E0
1.315521641E0	-2.455600262E0	1.078907204E1	-1.822781801E0	1.121412420E1
1.333847527E0	-1.284783363E0	1.249920082E1	3.585174084E-1	1.257017200E1
1.352198985E0	-2.250835150E-1	1.326423740E1	1.683459163E0	1.337253496E1
1.370537683E0	-1.116926312E0	1.023157310E1	4.731833935E-2	1.029246577E1
1.388863568E0	-2.731191158E0	5.125566483E0	-2.830837011E0	6.460996448E0
1.407215027E0	-2.941772699E0	-1.656026840E-1	-3.401771545E0	4.500388929E0
1.425553725E0	-1.789317608E0	-4.381722927E0	-1.324181676E0	4.914734013E0
1.443879662E0	3.817303479E-2	-6.504458427E0	-4.371260405E-1	6.519241964E0
1.462231120E0	1.580955625E0	-7.476059914E0	-1.103907585E0	7.720719168E0
1.480569766E0	2.128595591E0	-8.082186699E0	-1.824737787E0	8.554667090E0
1.498895704E0	1.590856075E0	-9.935446739E0	-1.712009549E0	1.020661068E1
1.517247162E0	6.635232568E-1	-1.140599632E1	-2.517698526E0	1.169939405E1
1.535585860E0	5.992479622E-3	-1.113562679E1	-3.616440296E0	1.170815359E1
1.553924506E0	-1.098319367E-1	-1.010258579E1	-3.698946714E0	1.075901992E1
1.572263204E0	-9.747251868E-2	-8.779771805E0	-3.447165966E0	9.432753947E0
1.590601902E0	-2.363792509E-1	-8.320100784E0	-2.389712334E0	8.659715772E0
1.608940600E0	-3.828554153E-1	-8.509650230E0	-1.546389341E0	8.657484930E0
1.627279245E0	-2.064296603E-1	-8.016585350E0	-1.121286631E0	8.097254941E0
1.645617943E0	1.042501628E-2	-7.781651974E0	-1.462378502E0	7.917876420E0
1.663956641E0	9.509046376E-2	-8.007966995E0	-1.153769851E0	8.091215141E0
1.682295339E0	1.460864693E-1	-8.402623177E0	-2.501940727E-1	8.407616462E0
1.700633985E0	1.039247811E-1	-8.325396538E0	-1.291542172E0	8.425622176E0
1.718959923E0	-3.903004229E-1	-8.413773537E0	-3.186129093E0	9.005295006E0
1.737311381E0	1.567104459E-1	-7.422751427E0	-3.506189346E0	8.210673580E0
1.755650079E0	1.515157700E0	-4.976682663E0	-3.079876423E0	6.045553073E0
1.773975964E0	2.917258501E0	-2.708048344E0	1.366056204E0	4.208328949E0
1.792327423E0	2.613513470E0	-1.987901688E0	3.027414083E0	4.466255905E0
1.810666120E0	4.085003436E-1	-1.541404724E-1	-1.750813127E0	1.804432991E0
1.828992006E0	-3.940245807E-1	5.093983650E0	-4.464732170E0	6.785112980E0
1.847343516E0	1.647677302E0	1.248011017E1	-4.920557737E-1	1.259802005E1
1.865682162E0	3.193117142E0	1.674797058E1	4.140277863E0	1.754515365E1
1.884008100E0	2.843812704E0	1.682192993E1	2.734144211E0	1.727831421E1
1.902359558E0	2.524476767E0	1.552156639E1	3.451378345E0	1.609981424E1
1.920698256E0	-5.482348800E-1	1.270099831E1	4.419567585E0	1.345914177E1
1.939024141E0	-4.329922676E0	1.181684399E1	2.305237293E0	1.279453599E1
1.957375600E0	-4.590646267E0	1.488314247E1	-2.255204916E-1	1.557667559E1
1.975714298E0	-2.153459787E0	1.729597855E1	-1.540071726E0	1.749743078E1
1.994052995E0	-9.348754883E-1	1.673351669E1	-1.498221755E0	1.682644471E1
2.012391641E0	-1.275605083E0	1.377868462E1	-2.147436619E0	1.400324256E1
2.030730339E0	-1.928145409E0	9.252648354E0	-2.784057379E0	9.852929603E0
2.049056277E0	-2.624499083E0	3.326303482E0	-3.568341732E0	5.539436163E0
2.067407735E0	-1.624513030E0	-3.075824261E0	-2.765386105E0	4.443770671E0
2.085746433E0	2.420722842E-1	-7.257301331E0	-2.661069632E-1	7.266211840E0
2.104072318E0	1.888813496E0	-9.752589226E0	1.985684037E0	1.013032843E1
2.122423777E0	2.515713930E0	-1.049268150E1	8.960125446E-1	1.082718893E1
2.140762475E0	1.720276833E0	-1.081747627E1	-2.809443474E0	1.130796701E1
2.159088360E0	7.828850746E-1	-1.205967712E1	-3.461694717E0	1.257107997E1
2.177439818E0	-7.968357205E-2	-1.126175308E1	-3.637672424E0	1.183495216E1
2.195778516E0	3.060338497E-1	-1.009855080E1	-1.854735136E0	1.027202158E1
2.214104454E0	1.059828639E0	-8.156606674E0	-1.153965950E0	8.305727337E0
2.232455912E0	7.791091204E-1	-6.384843826E0	-1.767379045E0	6.670597454E0
2.250794610E0	6.688917875E-1	-5.734763145E0	-1.386657953E0	5.937823241E0
2.269133256E0	4.668180645E-1	-6.188432693E0	-1.151196003E0	6.311883280E0
2.287471954E0	3.190045953E-1	-7.765727520E0	-1.479672194E-1	7.773685236E0
2.305810652E0	4.667103887E-1	-8.357761383E0	-1.099787474E0	8.442720321E0
2.324136589E0	6.946325302E-2	-9.260564804E0	-2.167788982E0	9.511161586E0
2.342488048E0	-4.629822671E-1	-9.615488052E0	-2.826333761E0	1.003295199E1
2.360826745E0	-4.839521646E-1	-9.388518333E0	-2.759209871E0	9.797536696E0
2.379165391E0	-3.532148600E-1	-9.053625107E0	-2.535156965E0	9.408501961E0
2.397504089E0	-5.549582839E-1	-8.413659096E0	-2.212584496E0	8.717406049E0
2.415842787E0	-2.471503913E-1	-7.052452087E0	7.712802887E-1	7.098805325E0
2.434168725E0	7.902394533E-1	-3.738469124E0	2.516779423E0	4.575457184E0
2.452520183E0	4.538119137E-1	2.330176353E0	3.213040829E-1	2.395600844E0
2.470858881E0	-2.012404919E0	9.021536827E0	-4.328058243E0	1.020636999E1
2.489184766E0	-2.691577196E0	1.510802841E1	-3.183584213E0	1.567266151E1
2.507536225E0	1.077354908E0	1.915718079E1	5.919997215E0	2.007995608E1
2.525874923E0	4.019876003E0	2.211087799E1	7.250651836E0	2.361402720E1
2.544200860E0	3.447546482E0	2.049558067E1	5.823455811E0	2.158395333E1
2.562552318E0	7.842355967E-1	1.708618355E1	4.088902473E0	1.758612570E1
2.580891016E0	-2.970348120E0	1.473089218E1	-1.089030623E0	1.506678931E1
2.599216902E0	-5.505740166E0	1.366754532E1	-6.705126762E0	1.618869033E1
2.617568360E0	-4.828555107E0	1.288911247E1	-6.748486042E0	1.532926054E1
2.635907058E0	-2.393094540E0	1.162251568E1	-4.308644295E0	1.262434901E1
2.654232995E0	-7.664360404E-1	9.608421326E0	-3.049080372E0	1.010970206E1
2.672584454E0	-2.377259731E-1	5.768233299E0	-1.042061448E0	5.866423194E0
2.690923152E0	2.602207065E-1	1.131298065E0	4.536723495E-1	1.246342140E0
2.709249037E0	6.447820067E-1	-4.237765312E0	1.545143127E-1	4.289320850E0
2.727600495E0	7.348636985E-1	-9.861216545E0	9.732978344E-1	9.936343647E0
2.745939193E0	2.709457576E-1	-1.348935986E1	7.963801622E-1	1.351556371E1
2.764265131E0	-1.741293967E-1	-1.518896866E1	-2.438675165E-1	1.519192421E1
2.782616589E0	-4.300907850E-1	-1.413774490E1	-2.409924984E0	1.434812000E1
