"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000e0	1.679365481197272e9	"2023-03-20 22:24:41.197 UTC-04:00"
"PAUSE"	6.000419816666545e1	1.679365541201480e9	"2023-03-20 22:25:41.201 UTC-04:00"
